,Headline,Description,Category,polarity,subjectivity
120,Digital Security Act should be abolished: Dr Kamal Hossain,Gonoforum President Dr Kamal Hossain today said the Digital Security Act should be abolished.,Politics,Neutral,0.0
121,Book on Bangabandhu's March 7 speech published in all UN official languages,Permanent Mission of Bangladesh to UNESCO and Bangladesh Embassy in Paris have published -- in UN's six official languages -- a book on Father of the Nation Bangabandhu Sheikh Mujibur Rahman's March 7 speech.,Bangladesh,Neutral,0.0
122,3rd Dash-8 aircraft reaches Dhaka,The third Dash-8 aircraft purchased from Canada reached Dhaka this afternoon.,Bangladesh,Neutral,0.0
123,Joy Bangla Concert to be back in 2022: Radwan Mujib Siddiq,"The popular Joy Bangla Concert will return in 2022 after it was cancelled this year due to the coronavirus pandemic, said Bangabandhu's grandson Radwan Mujib Siddiq in a Facebook post yesterday.",Bangladesh,Positive,0.4916666666666667
124,Indian Cultural Centre inaugurated in Gulshan,"Shared cultural heritage is the strength of friendship between Bangladesh and India, said Indian External Affairs Minister S Jaishankar today after inaugurating the Indian Cultural Centre in the capital's Gulshan.",Bangladesh,Positive,0.10000000000000002
125,Processions and rallies banned on CMC campus,The authorities of Chattogram Medical College (CMC) have imposed a ban on processions and rallies on the campus as the students locked in clashes twice within the span of a month.,Bangladesh,Neutral,0.0
126,"Begum Rokeya University, Rangpur VC Kalimullah declared persona non grata on campus","Prof Nazmul Ahsan Kalimullah, the vice-chancellor of Begum Rokeya University, Rangpur (BRUR) was declared persona non grata on campus today after he held a press conference in Dhaka.",Bangladesh,Neutral,0.0
127,'Bangabandhu's dynamism and farsightedness shaped foreign policy visions of Bangladesh',"Bangabandhu's dynamism and farsightedness shaped the foreign policy visions of Bangladesh, said eminent speakers at a webinar as part of the celebration of Mujib Year.",Bangladesh,Negative,0.125
128,"UN rights chief urges transparent probe into Mushtaq's death, review of DSA","UN High Commissioner for Human Rights Michelle Bachelet has called for transparent investigation into the death of writer Mushtaq Ahmed and review of the Digital Security Act, under which he was charged.",Bangladesh,Positive,0.2133333333333333
129,Fakhrul receives first Covid-19 vaccine dose at Kuwait Maitree Hospital,BNP Secretary General Mirza Fakhrul Islam Alamgir has received the first dose of coronavirus vaccine.,Coronavirus: A deadly threat,Positive,0.41666666666666663
130,Tarique Rahman sued under DSA,A case was filed against BNP acting chairman Tarique Rahman under the Digital Security Act for declaring late president Ziaur Rahman “the nation's father of Bangladeshi nationalism”.,Politics,Negative,0.19999999999999998
131,25 BNP men released on bail from Khulna jail,Twenty-five leaders and activists of BNP have been released on bail from Khulna jail after they were arrested en masse between February 24 and February 27 from different areas of Khulna ahead of the party's rally in the city held on February 27.,Politics,Negative,0.3
132,Some people trying to fish in troubled waters over Mushtaq's death: Quader,Awami League General Secretary Obaidul Quader today said a section of people is trying to fish in troubled waters over the death of writer Mushtaq Ahmed.,Bangladesh,Negative,0.75
133,5th phase polls underway in 29 municipalities,The fifth phase election is progressing in 29 municipalities under 20 districts across the country today.,Bangladesh,Neutral,0.0
134,5th phase polls to 29 municipalities tomorrow,"The fifth phase elections will be held in 29 municipalities under 20 districts using electronic voting machines (EVMs) on Sunday, February 28, 2021.",Bangladesh,Neutral,0.0
135,"Death of writer Mushtaq: 13 heads of foreign missions urge govt for transparent, independent inquiry","Thirteen heads of foreign missions in Bangladesh have expressed grave concern about the death in custody of writer Mushtaq Ahmed, who died in Kashimpur Jail on Thursday, while calling on the government to conduct an enquiry into the death.",Bangladesh,Negative,0.0625
136,24-hour bus strike to start from 6pm in Khulna ahead of BNP rally,Khulna Bus Owners' Association has called a 24-hour strike starting from this evening ahead of BNP's divisional rally.,Bangladesh,Neutral,0.1
137,Mushtaq Ahmed should never have been detained: Human Rights Watch,"Brad Adams, Asia Director of Human Rights Watch, today released a statement regarding the devastating death of Mushtaq Ahmed where he said the writer should not have been detained in the first place.",Bangladesh,Negative,0.4777777777777778
138,Momen calls upon US to help legalise undocumented Bangladeshis,Foreign Minister AK Abdul Momen has called upon US authorities to help legalise undocumented Bangladeshis residing there.,Bangladesh,Negative,0.125
139,12th anniversary of Pilkhana carnage tomorrow,The 12th anniversary of the atrocious carnage at the Pilkhana Bangladesh Rifles (now Border Guard Bangladesh) headquarters in the capital will be observed tomorrow.,Bangladesh,Negative,1.0
140,"Bangladesh, Japan saw strengthened relation in 2020 despite pandemic: envoy","Despite the pandemic affecting economies and health systems, Bangladesh and Japan last year saw a stronger relationship as the two peace-loving nations worked together for national and regional prosperity and stability.",Bangladesh,Neutral,0.06666666666666667
141,Noted economist Ibrahim Khaled passes away,"Prominent economist and former deputy governor of Bangladesh Bank, Khondkar Ibrahim Khaled passed away at a hospital in Dhaka early today.",Business,Positive,0.43333333333333335
142,"Bangladesh can export edible oil to India, says High Commissioner Doraiswami",Indian High Commissioner to Bangladesh Vikram Kumar Doraiswami has said Bangladesh can export edible oil to India with 20 percent value addition to the product.,Southeast Asia,Positive,0.5399999999999999
143,Al Jazeera report: Court asks complainant to withdraw sedition case,"A Dhaka court today asked the complainant to withdraw a sedition case filed against four people including Swedish-Bangladeshi journalist and Netra News Editor-in-Chief Tasneem Khalil and Hungary-based entrepreneur Zulkarnain Saer Khan alias Sami over Al Jazeera's report titled ""All the Prime Minister's Men"".",Bangladesh,Neutral,0.0
144,Will build our own fighter jets: PM,"Prime Minister Sheikh Hasina today expressed a desire to build fighter jets in Bangladesh, to protect its sovereignty.",Bangladesh,Neutral,0.0
145,Nation paying tributes to language heroes,"The nation is observing Amar Ekushey -- the Language Martyrs' Day (Shaheed Dibosh) and the International Mother Language Day in a befitting manner today, marking the supreme sacrifice of the language heroes for upholding the right to speak their mother tongue Bangla.",Bangladesh,Positive,0.26785714285714285
146,"President, PM pay homage to Language Heroes",President M Abdul Hamid and Prime Minister Sheikh Hasina have paid their glowing tributes to the martyrs of the historic Language Movement in 1952 on the occasion of Amar Ekushey and the International Mother Language Day.,Bangladesh,Neutral,0.0
147,Journalist hit by bullet during Noakhali AL factional clash dies at DMCH,"A local journalist, who was bullet-hit in clashes between two factions of ruling Awami League over establishing supremacy in Companiganj upazila of Noakhali, died at a Dhaka hospital.",Crime,Neutral,0.0
148,Recommendation to suspend Quader Mirza withdrawn hours after being issued,Noakhali district unit of Awami League withdrew a letter recommending withdrawal and suspension of Basurhat Municipality Mayor Abdul Quader Mirza from all activities of the party two hours after issuing it.,Politics,Neutral,0.0
149,50 hurt in AL factional clash in Companiganj,At least 50 people were injured in a clash between two rival factions of ruling Awami League in Noakhali's Companiganj upazila.,Politics,Negative,0.4
150,"5 hurt in clash between JU students, locals","At least five persons were injured, including students of Jahangirnagar University in Savar on the outskirts of Dhaka, in a clash between locals and students.",Bangladesh,Negative,0.4
151,Process underway to take action against Papul,The process of taking action against independent Laxmipur-2 lawmaker Mohammad Shahid Islam alias Kazi Papul has been started as documents and other papers on his conviction in a Kuwait court has reached the parliament secretariat.,Bangladesh,Negative,0.19999999999999998
152,India-Bangladesh collaboration: Software to translate SC judgments from English to Bangla unveiled,"The Supreme Court today unveiled 'Amar Vasha' software, which uses artificial intelligence to translate orders and judgments of the apex court from English into Bangla.",Bangladesh,Negative,0.5
153,"'Int'l Mother Language Day inspiration to build multicultural, inclusive societies'","International Mother Language Day is a source of inspiration to build multicultural and inclusive societies where people of all races, faiths, languages and cultures get respect and can live with dignity, ministers and academics said today.",Bangladesh,Positive,0.25
154,"Al-Jazeera documentary: Make sure it's taken down, HC tells BTRC","Exercising an extraordinary jurisdiction, the High Court has directed the telecom regulator to immediately remove Al Jazeera report ""All the Prime Minister's Men"" from online platforms in order to prevent “further worsening of the situation”.",Law & Our Rights,Positive,0.68
155,9 UK universities keen to set up campuses in Bangladesh,At least nine UK universities want to set up campuses in Bangladesh to provide higher education of international standard.,Bangladesh,Negative,0.225
156,PM urges all to be vigilant against conspiracy,Prime Minister Sheikh Hasina today urged all countrymen to keep vigil against conspiracy.,Bangladesh,Neutral,0.0
157,Present authentic Liberation War history before new generation: Hasina,Prime Minister Sheikh Hasina today asked all concerned to present the authentic history of the Liberation War before the new generation.,Bangladesh,Positive,0.40151515151515155
158,Journalist Shaheen Reza Nur passes away,"Shaheen Reza Nur, former executive editor of the daily Ittefaq and elder son of Shaheed journalist Sirajuddin Hossain, died of cancer at the age of 67.",Bangladesh,Neutral,0.0
159,Planning minister criticises govt officials for delay in disposal of files,"Criticising government officials for the delay in disposal of files, Planning Minister MA Mannan said, “If you (govt officials) take salary and benefits, you have to work fast and on time”.",Bangladesh,Positive,0.6
160,21 eminent citizens call for correcting errors concerning Jamaat-e-Islami in secondary level textbook,Twenty-one eminent citizens of the country called upon authorities to rectify some errors in a chapter on Bangladeshi political parties in a secondary level textbook on civics in grades IX and X.,Bangladesh,Negative,0.2
161,"Stripping Zia of Bir Uttam title: We will now look into the legal aspects, says Muktijoddha Council",A probe body of Jatiya Muktijoddha Council will meet soon to look into the legal aspects of revoking gallantry awards given to late president Ziaur Rahman and killers of Bangabandhu and their patronisers.,Bangladesh,Negative,0.4
162,JS body for sedition charges against those spreading propaganda through social media,A parliamentary body today recommended to take necessary actions against Bangladeshi citizens at home and abroad under sedition law for spreading propaganda through social media against the country.,Bangladesh,Negative,0.3888888888888889
163,UN human rights experts call to stop construction of tourism resort in Bandarban,UN human rights experts have said that Bangladesh should suspend the construction of a large-scale tourist resort in the Chittagong Hills Tracts because it “threatens to dispossess the indigenous Mro peoples of their traditional lands and cause serious environmental damage”.,Bangladesh,Negative,0.5055555555555555
164,Dhaka-Aricha highway to be upgraded to 10-lane: Quader,Road Transport and Bridges Minister Obaidul Quader today said the government has taken an initiative to upgrade nearly 20 kilometers (Gabtoli to Nabinagar) of Dhaka-Aricha highway from four-lane to 10-lane.,Bangladesh,Positive,0.4
165,Bangladesh envoy to UK awarded Woman of the Decade in Public Life and Diplomacy 2021,Bangladesh High Commissioner to the United Kingdom and Ireland Saida Muna Tasneem has been awarded the “Woman of the Decade in Public Life and Diplomacy 2021” by the Women's Indian Chamber of Commerce and Industries (WICCI).,Bangladesh,Positive,0.3033333333333333
166,Bangabandhu's Feb 6 speech in Kolkata: Memorial meeting at parade ground tomorrow,"Prime Minister Sheikh Hasina today said Father of the Nation Bangabandhu Sheikh Mujibur Rahman's historic speech delivered at the Brigade Parade Ground in Kolkata on February 6, 1972 is a very significant one in the history of Bangladesh.",Bangladesh,Positive,0.41111111111111115
167,Bangladesh's agro products: PM for further research to expand market,Prime Minister Sheikh Hasina today asked agricultural scientists to conduct further research over local fruits and agricultural items to expand their market.,Bangladesh,Neutral,0.25
168,EIU's Democracy Index: Bangladesh moves 4 notches up,Bangladesh has ranked 76th on the Economist Intelligence Unit's Democracy Index 2020 -- four notches up from last year.,Bangladesh,Neutral,0.06666666666666667
169,"MJF, in assistance with UK, provides cash support to over 15,000 Covid-19 affected women","Manusher Jonno Foundation (MJF), a human rights organisation focusing on dignity and well-being of marginalised population, has begun distribution of livelihood support to 15,380 Covid-19 affected marginalised women in 35 districts under 'Excluded People's Rights in Bangladesh' (EPR) programme.",Bangladesh,Neutral,0.1
170,This is 'yellow journalism': home minister on Al Jazeera report,Home Minister Asaduzzaman Khan Kamal today said Qatar-based international media Al Jazeera's report is not “factual”.,Bangladesh,Neutral,0.0
171,"Over 100 SC lawyers write to president to probe graft accusations against CEC, election commissioners","One hundred and one lawyers of the Supreme Court today sent a letter to President Md Abdul Hamid, requesting him to constitute a Supreme Judicial Council to probe allegations of ""financial corruption and gross misconduct"" against chief election commissioner (CEC) and other election commissioners and to remove them from their posts.",Bangladesh,Negative,0.125
172,11th Parliament session prorogued today,The 11th session of the 11th Parliament was prorogued today with Speaker Shirin Sharmin Chaudhury reading out the prorogation order of the president around 12:10pm.,Bangladesh,Neutral,0.0
173,Covid-19 makes me feel I'm confined in a big prison: PM tells parliament,"Saying that she feels like she's confined in a big prison due to the Covid-19 situation, Prime Minister Sheikh Hasina today told the parliament that she met everyone during the session and had a wonderful time.",Bangladesh,Positive,0.4916666666666667
174,Dhaka urges Kuala Lumpur to finalise protocol on employment of workers,Bangladesh has urged Malaysia to finalise protocol amending the MoU between the Government of Malaysia and the Government of Bangladesh (G2G plus) on the employment of workers.,Bangladesh,Neutral,0.0
175,"Bangladesh govt terms Al Jazeera report 'false, defamatory and a politically motivated smear campaign'","Bangladesh has termed the Al Jazeera investigative report “All the Prime Minister's Men” as ""false, defamatory and a politically motivated smear campaign"".",Bangladesh,Negative,0.35
176,Kotalipara bomb plot to kill Hasina: HC to deliver verdict Feb 17,The High Court will deliver its verdict on February 17 in the case filed over the attempt to kill Awami League President and Prime Minister Sheikh Hasina by planting a 76 kg bomb at Kotalipara of Gopalganj in 2000.,Law & Our Rights,Positive,0.5399999999999999
177,Freedom of press essential for democracy: JP MP Anisul,Jatiya Party lawmaker Anisul Islam Mahmud told parliament today that it would not be good for the country or the government if freedom of press is not ensured.,Bangladesh,Positive,0.6000000000000001
178,Case against Nasir Group officials: HC wants to know why BFIU failed to complete probe in 4 years,"The High Court yesterday wanted to know why the Bangladesh Financial Intelligence Unit (BFIU), the anti-money laundering wing of the Bangladesh Bank, has failed to complete -- in last four years -- the investigation into a money laundering case filed against four high officials of Nasir Group of Industries.",Law & Our Rights,Negative,0.3077777777777777
179,Road accidents: Govt urged to make trustee board functional for compensation claims,Bangladesh Jatri Kalyan Samity today demanded that the government make the trustee board functional immediately which will deal with compensation related issues after accidents.,Bangladesh,Neutral,0.4
180,"Manpower export to different Middle East countries slowly reopening, says Expatriate minister",Expatriate Minister Imran Ahmad today informed the parliament that manpower export to different Middle East destinations including UAE is reopening gradually.,Bangladesh,Neutral,0.3
181,"Bangladesh, India to hold secretary-level talks in March",Bangladesh and India today agreed to hold a series of secretary-level talks. These talks will include Joint Rivers Commission in the run up to the summit meeting between Prime Minister Sheikh Hasina and her counterpart Narendra Modi in Dhaka this March.,Bangladesh,Neutral,0.0
182,AL's career workshop garners huge response among youth,Bangladesh Awami League's initiative “Career Workshop” has attracted the country's youth and has been receiving a huge response since its inauguration on January 9.,Bangladesh,Positive,0.9
183,Bangladesh wants BIMSTEC to fulfill Bangabandhu's dream of regional cooperation: Foreign minister,Foreign Minister Dr AK Abdul Momen today emphasised on the implementation of the (Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation) BIMSTEC Master Plan for transport connectivity for the greater benefit of this region.,Bangladesh,Positive,0.23125
184,Some aggrieved journalists publish negative news over NID services: law minister,"Some “aggrieved” journalists publish “incorrect” news over public hassles while availing services regarding national identity card, Law Minister Anisul Huq informed the parliament today.",Bangladesh,Neutral,0.06666666666666667
185,Mamata trying to create 'Greater Bangladesh' through 'Jai Bangla' slogan: West Bengal BJP president,President of West Bengal unit of Bharatiya Janata Party (BJP) Dilip Ghosh alleged in a Facebook post today that state Chief Minister Mamata Banerjee was trying to create a “Greater Bangladesh” by raising “Jai Bangla” slogan at her public meetings.,INDIA,Positive,0.2222222222222222
186,"New Biden administration: Dhaka hopeful for Rohingya repatriation, restoring GSP facilities","Dhaka sees a ray of hope for Rohingya repatriation and restoring GSP facilities as the new US President Joe Biden is focusing on promoting democratic institutions, human rights and is supportive of the developing countries' cause.",Bangladesh,Positive,0.5181818181818182
187,India and Bangladesh must progress together: Indian high commissioner,"India and Bangladesh must progress together, Indian High Commissioner to Bangladesh Vikram Doraiswami said today, as India celebrates its 72nd Republic Day.",Bangladesh,Positive,0.5399999999999999
188,Padma bridge construction to end by June 2022: Obaidul Quader,Road Transport and Bridges Minister Obaidul Quader informed the parliament today that the construction of Padma bridge would be completed within June 2022.,Bangladesh,Neutral,0.0
189,President consents to three education bills,President Abdul Hamid today gave his consent to the three bills passed by the Jatiya Sangsad during the ongoing 11th session of parliament.,Bangladesh,Neutral,0.0
190,"Grade 10, 12 students will have regular classes, rest once a week: education minister",Education Minister Dipu Moni today informed the parliament that classes at schools will resume on a limited scale.,Bangladesh,Negative,0.14285714285714285
191,"HSC, equivalent results without exams: bills passed in parliament","Three separate amendment bills were passed in the parliament, paving the way for publishing HSC and equivalent results without holding public exams during the pandemic.",Bangladesh,Neutral,0.06666666666666667
192,This is our biggest celebration: PM says while giving away homes to homeless,Prime Minister Sheikh Hasina today said that her government would ensure accommodation for all marking Mujib Borsho.,Bangladesh,Neutral,0.0
193,"Bangabandhu's murals set up in 62 districts, 383 upazilas: cabinet division tells HC","The cabinet division today submitted a report to the High Court, saying that murals of Father of the Nation Bangabandhu Sheikh Mujibur Rahman have been placed in 62 districts and 383 upazilas across the country in line with its earlier directive.",Bangladesh,Positive,0.52
194,"Covid-19: Govt to gradually vaccinate all Bangladeshis over 18 for free, finance minister says","Covid-19 vaccine will be provided to all Bangladeshi citizens -- aged above 18 -- for free, Finance Minister AHM Mustafa Kamal said today.",Coronavirus: A deadly threat,Positive,0.43333333333333335
195,"Outstanding bills of 6 gas distribution companies stand at Tk 9,018cr","The outstanding bills of six gas distribution companies of the country amount to Tk 9,018.04 crore, State Minister for Power, Energy and Mineral Resources Nasrul Hamid told parliament today.",Bangladesh,Positive,0.875
196,No decision on shutting down sugar mills: Industries Minister Nurul Majid,Industries Minister Nurul Majid Mahmud Humayun today told parliament that the government did not take any decision on shutting down state-owned sugar mills.,Bangladesh,Negative,0.2888888888888889
197,"Government to build 14,000 houses for insolvent freedom fighters","The government will construct 14,000 houses for insolvent freedom fighters, said Liberation War Affairs Minister AKM Mozammel Haque today while addressing a rally on the occasion of “Service Week-2021” in front of the ministry.",Bangladesh,Neutral,0.0
198,Britain expresses solidarity with Bangabandhu's secular values at Victory Day celebration in London,"Bangladesh High Commission in London organised a high-profile Victory Day celebration programme on December 16, where participants including eminent British parliamentarians, ambassadors, senior officials of UK Foreign Office and recipients of Friends of Liberation War honour paid their profound homage to Father of the Nation Bangabandhu Sheikh Mujibur Rahman and expressed solidarity with Prime Minister Sheikh Hasina's commitment to uphold Bangabandhu's secular, progressive and pluralistic values in sustaining Bangladesh's growth and prosperity.",Bangladesh,Positive,0.41625
199,Bangladesh hopeful of continuing talks on economic ties with US,Bangladesh is hopeful of continuing discussion with the United States on strengthening economic ties as election results are unlikely to have any impact on it.,Bangladesh,Negative,0.35
200,"Flights to India to resume soon, Indian envoy hopes","Indian High Commissioner to Dhaka, Vikram Doraiswami, says that he is hopeful about resuming air operation between India and Bangladesh ""very quickly.""",World,Positive,0.595
201,Radwan Mujib to launch policy magazine 'WhiteBoard' tomorrow,"Centre for Research & Information (CRI) is set to launch WhiteBoard, a magazine objectively and comprehensively analysing and narrating the policies in Bangladesh, tomorrow.",Bangladesh,Neutral,0.1
202,Involvement with Neo JMB: Mother of arrested Indian national wants punishment,"The mother of 25-year-old Indian national Ayesha Jannat Mohona who was arrested in Dhaka for her alleged links to terror group Jamaat-ul-Mujahideen Bangladesh, wants strong action against her as per the law.",INDIA,Positive,0.25833333333333336
203,Doctor from Kushtia dies of Covid-19 at BSMMU,Another doctor dies from Covid-19 while receiving treatment at Bangabandhu Sheikh Mujib Medical University.,Coronavirus: A deadly threat,Neutral,0.0
204,"PM, law minister mourn death of president's brother Abdul Hai","Prime Minister Sheikh Hasina and Law Minister Anisul Huq mourn the demise of freedom fighter Abdul Hai, younger brother of President Abdul Hamid, who died from Covid-19 infection in Dhaka.",Coronavirus: A deadly threat,Neutral,0.0
205,Trial run begins for transshipment of Indian goods through Bangladesh waters,"The transshipment of Indian goods will open a new horizon of Indo-Bangla relations, says State Minister for Shipping, Khalid Mahmud Chowdhury.",Bangladesh,Positive,0.4772727272727273
206,India's apex court to hear pleas of blacklisted foreigners including 110 Bangladeshis,"India's Supreme Court says it will hear on July 24 the pleas filed by foreigners, challenging the federal government's orders that blacklisted more than 2,700 citizens of 35 countries from travelling to India for 10 years for alleged involvement in Tablighi Jamaat activities.",INDIA,Positive,0.5333333333333333
207,RU Prof Historian ABM Hossain no more,"Internationally acclaimed historian Professor Abul Bashar Mosarraf Hossain of Rajshahi University (RU) passed away at Bangladesh Specialised Hospital in Dhaka, Prof Fazlul Haque, Dean of the Faculty of Arts at RU, says.",Bangladesh,Neutral,0.0
208,MP Shahid's seat will be vacant if Kuwait citizenship proven: PM,Prime Minister Sheikh Hasina tells the parliament that the seat of independent MP Mohammad Shahid Islam will be vacant if it is found that he is a citizen of Kuwait.,Bangladesh,Neutral,0.125
209,Sahara Khatun flies to Thailand for treatment,Awami League (AL) presidium member and former home minister Advocate Sahara Khatun leaves Dhaka for Thailand for better treatment.,Country,Positive,0.25
210,Bangladesh's independence AL's biggest achievement: PM,Prime Minister Sheikh Hasina says the biggest achievement of Awami League through its sacrifices and endurance is the liberation of Bangladesh.,Bangladesh,Neutral,0.0
211,Covid-19 positive health workers to get priority at Sheikh Russel Gastro Liver Hospital,Sheikh Russel Gastro Liver Institute and Hospital in Dhaka is designated for priority treatment of coronavirus-positive health workers.,Coronavirus: A deadly threat,Neutral,0.0
212,BEZA provides relief to 7000 workers' families,"Bangladesh Economic Zones Authority (BEZA) provides food assistance to some 7,000 families who work at different ongoing economic zones and whose livelihoods are affected by the prolonged nationwide shutdown due to the coronavirus outbreak.",Business,Positive,0.34375
213,"Amphan floods houses, fish enclosures; destroys WDB embankment in Bagerhat",The embankment of 35/1 polder of Water Development Board (WDB) in Sharankhola upazila of Bagerhat collapses in many places after being hit by super cyclone Amphan.,Country,Positive,0.5833333333333333
214,National Professor Anisuzzaman laid to rest,National Professor Anisuzzaman is laid to rest at Dhaka's Azimpur graveyard.,Bangladesh,Neutral,0.0
215,Canada for global alliance to combat fallout from coronavirus pandemic,Canada proposes a global alliance to tackle the challenges in the aftermath of the coronavirus pandemic.,Coronavirus: A deadly threat,Neutral,0.0
216,Gonoshasthaya Kendra gives 200 rapid testing kits to BSMMU,Gonoshasthaya Kendra gives Bangabandhu Sheikh Mujib Medical University (BSMMU) 200 locally developed rapid testing kits for validation.,Coronavirus: A deadly threat,Positive,0.15
217,Media more important than ever during Covid-19 crisis: foreign diplomats,"At least nine foreign diplomats in Bangladesh take to social media, calling for upholding the freedom of expression and saying facts, during any crisis, are more important than ever to save lives.",Bangladesh,Positive,0.41833333333333333
218,Cooperation and not isolation will help us fight Covid-19: PM Sheikh Hasina,"As the world tackles Covid-19 pandemic, Prime Minister Sheikh Hasina calls for a new kind of approach that fosters cooperation, and not isolation, among all stakeholders in an article published by the World Economic Forum.",Coronavirus: A deadly threat,Positive,0.5181818181818182
219,"Patuakhali UP chairman, member suspended for 'stealing rice'",A union parishad chairman and a female member of Patuakhali are suspended for allegedly stealing relief rice.,Coronavirus: A deadly threat,Negative,0.13333333333333333
220,High Commission arranging flight to take Australians home from Dhaka,The Australian High Commission in Bangladesh arranges a non-scheduled commercial flight to take back the Australians currently in Bangladesh.,Bangladesh,Positive,0.188
221,"E-passport, new MRP operations suspended","The Department of Immigration and Passports (DIP) suspends electronic and machine-readable passport (MRP) operations, as a precautionary measure to prevent the spread of coronavirus.",Coronavirus: A deadly threat,Neutral,0.0
222,Modi praises Bangabandhu in tweet,"Bangabandhu would be remembered for his courage and indelible contribution, Indian Prime Minister Narendra Modi says in a tweet.",INDIA,Neutral,0.0
223,Govt to introduce 1st int'l grant for young innovators,"The government is going to introduce its first international grant for young innovators as part of celebrating “Mujib Borsho”, says ICT state minister Zunaid Ahmed Palak.",Country,Positive,0.24444444444444446
224,"Sheikh Rehana, Saima Wazed pay homage to Bangabandhu at Kolkata's Baker Hostel","Sheikh Rehana and Saima Wazed Hossain, daughter and granddaughter of Bangabandhu Sheikh Mujibur Rahman, pay homage to the Father of the Nation in Kolkata's Baker Hostel of Maolana Azad College.",World,Neutral,0.0
225,Convicted war criminal Abdus Subhan dead at DMCH,Convicted war criminal and Jamaat-e-Islami leader Abdus Subhan dies of old age complications at Dhaka Medical College Hospital (DMCH).,City,Negative,0.25
226,Rear Admiral Nazmul Hassan new envoy to Maldives,The Government decides to appoint Rear Admiral Nazmul Hassan as the new High Commissioner of Bangladesh to the Republic of Maldives.,Country,Positive,0.4972727272727272
227,We frame each budget with the election manifesto in mind: PM,Prime Minister Sheikh Hasina says Bangladesh has attained an ability to advance further by competing any nation of the world and asserted that none can pull the country backward any more.,Country,Positive,0.5
228,Bangladesh elected as the president of UNICEF Executive Board,"Ambassador Rabab Fatima, Bangladesh's Permanent Representative to the United Nations, has been unanimously elected as the President of the UNICEF Executive Board at the elections of the Bureau held yesterday at the UN Headquarters in New York.",Bangladesh,Positive,0.45454545454545453
229,China's Xi visits Myanmar to drive home Belt and Road plan,"China's President Xi Jinping arrives in Myanmar this week to nail down multi-billion-dollar infrastructure deals in a country abandoned by many in the West appalled at the ""genocide"" of Rohingya Muslims on leader Aung San Suu Kyi's watch.",Rohingya Crisis,Negative,0.5962962962962963
230,Bangladesh top gender-neutral country in South Asia: Report,"Bangladesh has been ranked the top country among its South Asian neighbours by performing the best in bringing down gender gap, World Economic Forum says in its latest report.",Bangladesh,Positive,0.36481481481481487
231,Hearing at ICJ Part-2: Myanmar rebuts with weak logic,"Myanmar argues their case today (11th December 2019), in the International Court of Justice. Aung San Suu Kyi Spoke at the city of The Hague, Netherlands where the court is located. She partially agreed to the allegations of the mistreatment of the Rohingya people. She said, if the military is found guilty of war crime allegations they'd be investigated and trailed by Myanmar.",Star Live,Negative,0.35
232,Stop genocide against Rohingyas: Gambia to UN court,The Gambia accuses Myanmar of breaching the 1948 genocide convention and urged the UN top court to order Myanmar to stop genocide against the Rohingya minority.,Country,Positive,0.5
233,No atrocity against religious minorities in Bangabandhu regime: Amit Shah,Indian Home Minister Amit Shah has expressed his gratitude that not a single incident of atrocities on religious minorities in Bangladesh took place as long as Bangabandhu Sheikh Mujibur Rahman was alive.,Politics,Positive,0.31607142857142856
234,'Long-term plan needed to stop violent extremism',"Stressing the necessity to stop violent extremism with long-term integrated plan, speakers at a conference in Belgium say that the threat is no longer limited in South Asia, rather Europe and the US are also affected by its destructive impacts.",World,Negative,0.580952380952381
235,Bangladesh allows India to withdraw Feni river water,Bangladesh has agreed to allow India to withdraw 1.82 cusec of water from trans-border Feni river to meet the demand of drinking water for the people of of Tripura's Sabroom town.,Politics,Neutral,0.0
236,PM urges India-Bangladesh businessmen to work for mutual benefits,"Prime Minister Sheikh Hasina urges India-Bangladesh businessmen to work for mutual benefits and make the region more prosperous, saying the two neighbouring countries are enjoying the best ever relations as she addressed the India-Bangladesh Business Forum (IBBF).",Country,Positive,0.46666666666666673
237,World News Day: How newsrooms made an impact in society,Editors and journalists in newsrooms around the world have come together to showcase some of the work they do and the effort that goes into producing stories that make a difference to the lives of people in their communities.,World,Neutral,0.0
238,PM receives 'Champion of Skill Development for Youth' award,Prime Minister Sheikh Hasina receives an award titled 'Champion of Skill Development for Youth' for Bangladesh's great success in youth skill development.,Country,Positive,0.375
239,Bangladeshi shot dead in New York,A Bangladeshi youth has been shot dead by miscreants in Jamaica of New York.,Bangladesh,Negative,0.42727272727272725
240,"Rohingya Crisis: Dhaka seeks NAM, ASEAN member states' role",Permanent Representative of Bangladesh to the United Nations in New York Ambassador Masud Bin Momen urges the NAM member states including the ASEAN neighbours of Myanmar to remain engaged and put in more efforts so that Myanmar authorities do not fail in taking the Rohingyas back.,Rohingya Crisis,Positive,0.3136363636363636
241,PM reaches London,Prime Minister Sheikh Hasina reaches London on an official visit to the United Kingdom.,Bangladesh,Neutral,0.0
242,Ban Ki-Moon wants global adaptation centre in Bangladesh,"Former UN Secretary-General, who is also the chairman of the Global Commission on Adaptation, Ban Ki-moon proposes setting up a global centre for adaptation in Bangladesh for the South and South-East Asia.",Bangladesh,Neutral,0.0
243,UK concerned over rights situation in Bangladesh,The UK has expressed concern over the increased number of extrajudicial killings and further reduction in freedom of expression in Bangladesh.,Bangladesh,Neutral,0.5
